bin_lower,bin_upper,n_rows,mean_predicted_probability,observed_positive_rate
0.0,0.1,13648,0.030792776293155882,0.0313599062133646
0.1,0.2,5430,0.15037269924266278,0.15156537753222837
0.2,0.30000000000000004,2643,0.2501128559300806,0.2504729474082482
0.30000000000000004,0.4,1389,0.3674993554765632,0.367170626349892
0.4,0.5,1682,0.4495465013042223,0.45005945303210465
0.5,0.6000000000000001,165,0.5213354249341802,0.4303030303030303
0.6000000000000001,0.7000000000000001,236,0.6621374476460251,0.6822033898305084
0.7000000000000001,0.8,161,0.7352677028425462,0.7080745341614907
0.8,0.9,5,0.8298901098901098,0.6
0.9,1.0,9,0.9338389985418394,0.6666666666666666
