bin_lower,bin_upper,n_rows,mean_predicted_probability,observed_positive_rate
0.0,0.1,14172,0.033510498841563444,0.03394016370307649
0.1,0.2,4505,0.14490822090855812,0.15294117647058825
0.2,0.30000000000000004,2617,0.2479513539549795,0.2327092090179595
0.30000000000000004,0.4,1874,0.34687017980165336,0.35432230522945574
0.4,0.5,1260,0.445150904541122,0.44047619047619047
0.5,0.6000000000000001,589,0.5447325289995668,0.5008488964346349
0.6000000000000001,0.7000000000000001,286,0.6423408646740354,0.6713286713286714
0.7000000000000001,0.8,64,0.7322780524088761,0.78125
0.8,0.9,1,0.8037299134451401,0.0
0.9,1.0,0,,
