threshold,recall,precision,f1,tp,fp,fn,tn
0.01,0.9954738330975955,0.16090534979423868,0.2770320802991537,3519,18351,16,3482
0.02,0.9852899575671853,0.18211764705882352,0.3074139452780229,3483,15642,52,6191
0.03,0.9717114568599717,0.19710793596143913,0.32773590306268485,3435,13992,100,7841
0.04,0.957001414427157,0.20949962843695813,0.34374841233551795,3383,12765,152,9068
0.05,0.9422913719943423,0.2220518632091194,0.3594087181700475,3331,11670,204,10163
0.06,0.9278642149929278,0.23340212054365617,0.37298157834887424,3280,10773,255,11060
0.07,0.9125884016973126,0.24380290205562274,0.38480348303214645,3226,10006,309,11827
0.08,0.8961810466760962,0.25390718922817984,0.3957032225830627,3168,9309,367,12524
0.09,0.8817538896746817,0.26397357723577236,0.40630906602359385,3117,8691,418,13142
0.1,0.863932107496464,0.2727759914255091,0.4146358020500985,3054,8142,481,13691
0.11,0.8444130127298444,0.2814710042432815,0.4222065063649222,2985,7620,550,14213
0.12,0.8231966053748232,0.28877642155403394,0.42756391419335876,2910,7167,625,14666
0.13,0.805091937765205,0.29763647772432544,0.4346033442773154,2846,6716,689,15117
0.14,0.7807637906647807,0.30564784053156147,0.4393155590927178,2760,6270,775,15563
0.15,0.7612446958981612,0.31385584324702587,0.44446279626723917,2691,5883,844,15950
0.16,0.7437057991513437,0.3221024258760108,0.4495169701632897,2629,5533,906,16300
0.17,0.7278642149929279,0.3297449698833782,0.453871935085553,2573,5230,962,16603
0.18,0.7097595473833097,0.33891665540996896,0.45876759919546545,2509,4894,1026,16939
0.19,0.68995756718529,0.34615384615384615,0.46101502693507224,2439,4607,1096,17226
0.2,0.669024045261669,0.35345987146913765,0.4625464502249169,2365,4326,1170,17507
0.21,0.652050919377652,0.36134190311961123,0.46499899132539846,2305,4074,1230,17759
0.22,0.635926449787836,0.3698585060875288,0.4676999895974201,2248,3830,1287,18003
0.23,0.618953323903819,0.3777624309392265,0.4691755119545406,2188,3604,1347,18229
0.24,0.6005657708628006,0.3836978131212724,0.46823996471107193,2123,3410,1412,18423
0.25,0.5864214992927864,0.3912797281993205,0.46937620287558024,2073,3225,1462,18608
0.26,0.5691654879773692,0.39770705673057916,0.468233651384687,2012,3047,1523,18786
0.27,0.5536067892503536,0.4047569803516029,0.4676224611708482,1957,2878,1578,18955
0.28,0.5366336633663367,0.41266043071568415,0.4665518937530743,1897,2700,1638,19133
0.29,0.5185289957567185,0.42157313707451705,0.4650513763795509,1833,2515,1702,19318
0.3,0.49674681753889677,0.43102601865488466,0.4615586805099225,1756,2318,1779,19515
0.31,0.4794908062234795,0.4399169478328575,0.4588521927449919,1695,2158,1840,19675
0.32,0.4619519094766619,0.44690749863163653,0.45430518848240364,1633,2021,1902,19812
0.33,0.444978783592645,0.45515046296296297,0.4500071520526391,1573,1883,1962,19950
0.34,0.42093352192362093,0.4594010497066996,0.43932683790965454,1488,1751,2047,20082
0.35,0.40141442715700143,0.46692991115498517,0.4317006388804381,1419,1620,2116,20213
0.36,0.3807637906647808,0.47228070175438597,0.42161315583398595,1346,1504,2189,20329
0.37,0.3632248939179632,0.47555555555555556,0.41186848436247,1284,1416,2251,20417
0.38,0.345968882602546,0.48628230616302187,0.40429752066115704,1223,1292,2312,20541
0.39,0.3272984441301273,0.4927597955706985,0.3933367329593745,1157,1191,2378,20642
0.4,0.3089108910891089,0.49636363636363634,0.38081952920662593,1092,1108,2443,20725
0.41,0.29193776520509196,0.5029239766081871,0.36942903168068736,1032,1020,2503,20813
0.42,0.2727015558698727,0.5097831835007932,0.3553262071507556,964,927,2571,20906
0.43,0.2577086280056577,0.5226620768789444,0.34520651762031074,911,832,2624,21001
0.44,0.24158415841584158,0.5287925696594428,0.33165048543689324,854,761,2681,21072
0.45,0.22545968882602546,0.5359784801613988,0.31740342493030665,797,690,2738,21143
0.46,0.20707213578500708,0.5426241660489252,0.29975429975429974,732,617,2803,21216
0.47,0.1903818953323904,0.5471544715447154,0.282476390346275,673,557,2862,21276
0.48,0.1768033946251768,0.5535872453498671,0.2680102915951973,625,504,2910,21329
0.49,0.16322489391796322,0.5618305744888024,0.2529592284085927,577,450,2958,21383
0.5,0.1519094766619519,0.5712765957446808,0.24,537,403,2998,21430
0.51,0.14144271570014144,0.5787037037037037,0.22732439190725165,500,364,3035,21469
0.52,0.13323903818953323,0.5924528301886792,0.21755196304849886,471,324,3064,21509
0.53,0.12192362093352192,0.6027972027972028,0.20282352941176468,431,284,3104,21549
0.54,0.11343705799151343,0.6169230769230769,0.19163679808841103,401,249,3134,21584
0.55,0.10608203677510608,0.625,0.18137847642079807,375,225,3160,21608
0.56,0.09618104667609619,0.6238532110091743,0.16666666666666669,340,205,3195,21628
0.57,0.09137199434229137,0.6565040650406504,0.16041718400794636,323,169,3212,21664
0.58,0.08684582743988685,0.6792035398230089,0.15400050163029846,307,145,3228,21688
0.59,0.07835926449787836,0.6977329974811083,0.14089521871820956,277,120,3258,21713
0.6,0.06845827439886845,0.6894586894586895,0.12454966546577458,242,109,3293,21724
0.61,0.06025459688826026,0.6938110749185668,0.11087975013014056,213,94,3322,21739
0.62,0.05374823196605375,0.7063197026022305,0.09989484752891693,190,79,3345,21754
0.63,0.04809052333804809,0.7264957264957265,0.09020960466967366,170,64,3365,21769
0.64,0.04328147100424328,0.7285714285714285,0.08170894526034712,153,57,3382,21776
0.65,0.037057991513437055,0.7237569060773481,0.07050592034445641,131,50,3404,21783
0.66,0.030834512022630836,0.7171052631578947,0.05912666124220233,109,43,3426,21790
0.67,0.02545968882602546,0.7377049180327869,0.04922067268252666,90,32,3445,21801
0.68,0.020084865629420086,0.7395833333333334,0.03910768383365464,71,25,3464,21808
0.69,0.017256011315417256,0.7530864197530864,0.03373893805309735,61,20,3474,21813
0.7,0.014144271570014143,0.7692307692307693,0.027777777777777776,50,15,3485,21818
0.71,0.01074964639321075,0.7450980392156863,0.021193530395984383,38,13,3497,21820
0.72,0.00876944837340877,0.7380952380952381,0.017332960581492873,31,11,3504,21822
0.73,0.006789250353606789,0.7058823529411765,0.013449145418884843,24,10,3511,21823
0.74,0.005091937765205092,0.782608695652174,0.010118043844856662,18,5,3517,21828
0.75,0.0033946251768033945,0.75,0.006758659532526048,12,4,3523,21829
0.76,0.0016973125884016972,0.6666666666666666,0.0033860045146726866,6,3,3529,21830
0.77,0.0011315417256011315,0.8,0.002259887005649717,4,1,3531,21832
0.78,0.0008486562942008486,0.75,0.0016953941791466515,3,1,3532,21832
0.79,0.0,0.0,0.0,0,1,3535,21832
0.8,0.0,0.0,0.0,0,1,3535,21832
0.81,0.0,0.0,0.0,0,0,3535,21833
0.82,0.0,0.0,0.0,0,0,3535,21833
0.83,0.0,0.0,0.0,0,0,3535,21833
0.84,0.0,0.0,0.0,0,0,3535,21833
0.85,0.0,0.0,0.0,0,0,3535,21833
0.86,0.0,0.0,0.0,0,0,3535,21833
0.87,0.0,0.0,0.0,0,0,3535,21833
0.88,0.0,0.0,0.0,0,0,3535,21833
0.89,0.0,0.0,0.0,0,0,3535,21833
0.9,0.0,0.0,0.0,0,0,3535,21833
0.91,0.0,0.0,0.0,0,0,3535,21833
0.92,0.0,0.0,0.0,0,0,3535,21833
0.93,0.0,0.0,0.0,0,0,3535,21833
0.94,0.0,0.0,0.0,0,0,3535,21833
0.95,0.0,0.0,0.0,0,0,3535,21833
0.96,0.0,0.0,0.0,0,0,3535,21833
0.97,0.0,0.0,0.0,0,0,3535,21833
0.98,0.0,0.0,0.0,0,0,3535,21833
0.99,0.0,0.0,0.0,0,0,3535,21833
